epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2743,1.48212,3.56475,1.52155,0.00894,0.59028,0.23765,0.13271,1.4238,3.67687,1.31995,0.00015,0.00015,0.00015
2,47.5539,1.26569,3.09403,1.27387,0.01055,0.63889,0.40299,0.25237,1.20969,3.53095,1.1342,0.000309406,0.000309406,0.000309406
3,63.9411,1.23127,2.72378,1.3602,0.01248,0.65278,0.37595,0.24387,1.15618,3.34793,1.14355,0.000465595,0.000465595,0.000465595
4,80.9658,1.24759,2.26497,1.29181,0.9519,0.20594,0.49906,0.32162,1.25272,3.21338,1.19785,0.000618566,0.000618566,0.000618566
5,97.4243,1.22478,1.93946,1.25626,0.96998,0.25,0.53089,0.35237,1.17448,2.82031,1.16516,0.00076832,0.00076832,0.00076832
6,114.975,1.27684,1.8065,1.455,0.91344,0.39811,0.5666,0.40727,1.1236,2.63901,1.14133,0.000914856,0.000914856,0.000914856
7,130.862,1.24239,1.67237,1.30321,0.70227,0.35796,0.41685,0.25896,1.21638,2.59661,1.32216,0.00105817,0.00105817,0.00105817
8,148.011,1.18165,1.55002,1.32464,0.807,0.41543,0.46313,0.27904,1.29097,2.35879,1.42129,0.00116337,0.00116337,0.00116337
9,165.288,1.27194,1.6018,1.29243,0.91208,0.51698,0.55112,0.39156,1.13877,1.82633,1.22737,0.001151,0.001151,0.001151
10,181.339,1.15721,1.47092,1.23668,0.8069,0.5,0.51368,0.3493,1.21649,1.97683,1.31345,0.00113863,0.00113863,0.00113863
11,197.747,1.16734,1.59326,1.29531,0.82894,0.46482,0.52753,0.34991,1.15586,2.03389,1.2563,0.00112625,0.00112625,0.00112625
12,214.193,1.16943,1.40264,1.25817,0.75068,0.58928,0.58613,0.36067,1.17586,1.93023,1.22527,0.00111388,0.00111388,0.00111388
13,231.303,1.14628,1.33813,1.20133,0.83504,0.5325,0.59038,0.39326,1.12488,1.70249,1.20342,0.0011015,0.0011015,0.0011015
14,249.724,1.16281,1.38561,1.24911,0.81365,0.59873,0.58388,0.40593,1.1708,1.62965,1.19563,0.00108913,0.00108913,0.00108913
15,268.097,1.10695,1.33339,1.19547,0.92946,0.54861,0.6637,0.42593,1.15897,1.63977,1.20892,0.00107675,0.00107675,0.00107675
16,285.34,1.05114,1.27291,1.14775,0.91085,0.60417,0.66226,0.43535,1.21939,1.61583,1.23483,0.00106437,0.00106437,0.00106437
17,303.439,1.08532,1.22845,1.20785,0.93744,0.60417,0.6772,0.47032,1.01228,1.45995,1.09499,0.001052,0.001052,0.001052
18,322.195,1.1877,1.48966,1.25886,0.95168,0.63889,0.69317,0.49995,0.95372,1.33792,1.07217,0.00103962,0.00103962,0.00103962
19,340.008,1.07878,1.23881,1.16696,0.84642,0.65972,0.77154,0.54178,0.99762,1.30883,1.11916,0.00102725,0.00102725,0.00102725
20,356.379,1.0828,1.20726,1.1834,0.86288,0.66582,0.76489,0.5414,0.97209,1.23764,1.09687,0.00101488,0.00101488,0.00101488
21,372.521,1.0617,1.21359,1.30013,0.83,0.66667,0.68026,0.5026,0.98294,1.23804,1.12176,0.0010025,0.0010025,0.0010025
22,390.81,1.03045,1.12341,1.14743,0.92286,0.66122,0.65896,0.44759,1.09247,1.35868,1.16097,0.000990125,0.000990125,0.000990125
23,409.493,1.09404,1.20681,1.21941,0.98332,0.65287,0.67643,0.47222,1.04813,1.26212,1.10348,0.00097775,0.00097775,0.00097775
24,425.31,1.09451,1.18233,1.24114,0.94835,0.59165,0.66998,0.46425,1.0365,1.27574,1.0882,0.000965375,0.000965375,0.000965375
25,441.231,1.07165,1.12602,1.18109,0.92176,0.56199,0.6254,0.44385,1.01473,1.55702,1.13263,0.000953,0.000953,0.000953
26,458.919,1.06554,1.11635,1.20145,0.99559,0.63889,0.66439,0.48788,1.00042,1.59294,1.12827,0.000940625,0.000940625,0.000940625
27,475.852,1.05963,1.12276,1.14301,0.98746,0.65211,0.68567,0.47833,1.04129,1.25892,1.11147,0.00092825,0.00092825,0.00092825
28,493.163,1.03157,1.02779,1.13185,0.98739,0.63556,0.66785,0.49285,0.98297,1.10228,1.07921,0.000915875,0.000915875,0.000915875
29,510.576,1.02197,1.04149,1.17558,0.97161,0.66456,0.6643,0.5001,0.97109,1.09724,1.07497,0.0009035,0.0009035,0.0009035
30,526.02,1.05057,1.09844,1.2209,0.93047,0.63074,0.64871,0.48845,0.98302,1.15165,1.11097,0.000891125,0.000891125,0.000891125
31,541.426,1.02449,1.05415,1.15717,0.59519,0.62729,0.65073,0.48201,1.05856,1.14855,1.16753,0.00087875,0.00087875,0.00087875
32,558.087,1.02384,1.01202,1.15744,0.66368,0.59273,0.65186,0.49308,1.01265,1.13557,1.13831,0.000866375,0.000866375,0.000866375
33,628.202,0.98714,1.02302,1.16655,0.9839,0.62883,0.66612,0.49761,0.94458,1.08595,1.07919,0.000854,0.000854,0.000854
34,688.333,1.05346,1.11195,1.14381,0.9988,0.62655,0.66683,0.49773,0.95853,1.05759,1.09097,0.000841625,0.000841625,0.000841625
35,756.068,0.97532,0.97971,1.11809,0.96863,0.66667,0.67121,0.49978,0.91593,1.05835,1.08456,0.00082925,0.00082925,0.00082925
36,782.239,1.0101,1.052,1.13989,0.96775,0.66667,0.66332,0.50462,0.89467,1.01906,1.03225,0.000816875,0.000816875,0.000816875
37,827.444,0.96971,0.97911,1.1252,0.63316,0.65544,0.66697,0.48305,0.91663,1.01634,1.04515,0.0008045,0.0008045,0.0008045
38,926.253,0.91756,0.96904,1.10314,0.63047,0.6621,0.67419,0.49872,0.89862,0.95748,1.0296,0.000792125,0.000792125,0.000792125
39,995.894,0.91585,0.91361,1.10478,0.65501,0.61111,0.67788,0.50817,0.89377,0.98482,1.0393,0.00077975,0.00077975,0.00077975
